mes,ipca_variacao,ipca_acumulado_doze_meses,ipca15_variacao,ipca15_acumulado_doze_meses,ipa_variacao,selic_ano,juros_reais
11,0.52,6.64,0.46,6.69,0.34,11.4,4.46
12,0.5,6.5,0.56,6.56,-0.55,10.9,4.13
01,0.56,6.22,0.65,6.44,0.01,10.7,4.22
02,0.45,5.84,0.53,5.98,-0.03,10.4,4.31
03,0.21,5.24,0.25,5.61,0.55,9.82,4.35
04,0.64,5.1,0.43,5.25,1.25,9.35,4.04
05,0.36,4.99,0.51,5.05,0.91,8.87,3.7
06,0.08,4.92,0.18,5,0.89,8.39,3.31
07,0.43,5.2,0.33,5.24,2.13,8.07,2.73
08,0.41,5.24,0.39,5.35,1.77,7.85,2.48
09,0.57,5.28,0.48,5.31,1.11,7.39,2
10,0.59,5.45,0.65,5.56,-0.68,7.23,1.69
11,0.6,5.53,0.54,5.64,0.16,7.14,1.53
12,0.79,5.84,0.69,5.78,0.74,7.16,1.25
01,0.86,6.15,0.88,6.02,0,7.11,0.9
02,0.6,6.31,0.68,6.18,0.09,7.12,0.76
03,0.47,6.59,0.49,6.43,0.12,7.15,0.53
04,0.55,6.49,0.51,6.51,-0.39,7.26,0.72
05,0.37,6.5,0.46,6.46,0.01,7.42,0.86
06,0.26,6.7,0.38,6.67,0.85,7.9,1.12
07,0.03,6.27,0.07,6.4,0.2,8.23,1.84
08,0.24,6.09,0.16,6.15,0.58,8.45,2.22
09,0.35,5.86,0.27,5.93,1.9,8.9,2.87
10,0.57,5.84,0.48,5.75,0.71,9.25,3.22
11,0.54,5.77,0.57,5.78,0.12,9.45,3.48
12,0.92,5.91,0.75,5.85,0.78,9.9,3.77
01,0.55,5.59,0.67,5.63,0.12,10.17,4.34
02,0.69,5.68,0.7,5.65,1,10.43,4.49
03,0.92,6.15,0.73,5.9,1.91,10.65,4.24
04,0.67,6.28,0.78,6.19,0.27,10.87,4.32
05,0.46,6.37,0.58,6.31,-1.21,10.9,4.26
06,0.4,6.52,0.47,6.41,-1.21,10.9,4.11
07,0.01,6.5,0.17,6.51,-1.01,10.9,4.13
08,0.25,6.51,0.14,6.49,0.04,10.9,4.12
09,0.57,6.75,0.39,6.62,-0.18,10.9,3.89
10,0.42,6.59,0.48,6.62,0.73,10.92,4.06
11,0.51,6.56,0.38,6.42,1.44,11.15,4.31
12,0.78,6.41,0.79,6.46,0.3,11.58,4.86
01,1.24,7.14,0.89,6.69,0.23,11.82,4.37
02,1.22,7.7,1.33,7.36,0.41,12.15,4.13
03,1.32,8.13,1.24,7.9,1.24,12.58,4.12
04,0.71,8.17,1.07,8.22,0.61,12.68,4.17
05,0.74,8.47,0.6,8.24,0.19,13.15,4.31
06,0.79,8.89,0.99,8.8,0.43,13.58,4.31
07,0.62,9.56,0.59,9.25,0.7,13.69,3.77
08,0.22,9.53,0.43,9.57,0.44,14.15,4.22
09,0.54,9.49,0.39,9.57,2.02,14.15,4.26
10,0.82,9.93,0.66,9.77,2.38,14.15,3.84
11,1.01,10.48,0.85,10.28,1.41,14.15,3.32
12,0.96,10.67,1.18,10.71,0.33,14.15,3.14
01,1.27,10.71,0.92,10.74,1.63,14.15,3.11
02,0.9,10.36,1.42,10.84,0.84,14.15,3.43
03,0.43,9.39,0.43,9.95,0.37,14.15,4.35
04,0.61,9.28,0.51,9.34,0.29,14.15,4.46
05,0.78,9.32,0.86,9.62,1.49,14.15,4.42
06,0.35,8.84,0.4,8.98,2.1,14.15,4.88
07,0.52,8.74,0.54,8.93,-0.81,14.15,4.98
08,0.44,8.97,0.45,8.95,0.5,14.15,4.75
09,0.08,8.48,0.23,8.78,-0.03,14.15,5.23
10,0.26,7.87,0.19,8.27,0.04,14.05,5.73
11,0.18,6.99,0.26,7.64,-0.01,13.9,6.46
12,0.3,6.29,0.19,6.58,1.1,13.65,6.92
01,0.38,5.35,0.31,5.94,0.34,13.17,7.42
02,0.33,4.76,0.54,5.02,-0.12,12.82,7.69
03,0.25,4.57,0.15,4.73,-0.78,12.15,7.25
04,0.14,4.08,0.21,4.41,-1.96,11.59,7.22
05,0.31,3.6,0.24,3.77,-1.1,11.15,7.29
06,-0.23,3,0.16,3.52,-1.53,10.15,6.94
07,0.24,2.71,-0.18,2.78,-0.67,10.01,7.11
08,0.19,2.46,0.35,2.68,0.26,9.15,6.53
09,0.16,2.54,0.11,2.56,0.97,8.35,5.67
10,0.42,2.7,0.34,2.71,-0.03,8.01,5.17
11,0.28,2.8,0.32,2.77,1.06,7.4,4.47
12,0.44,2.95,0.35,2.94,1.07,7,3.93
01,0.29,2.86,0.39,3.02,0.58,6.9,3.93
02,0.32,2.84,0.38,2.86,0.15,6.72,3.77
03,0.09,2.68,0.1,2.8,0.77,6.58,3.8
04,0.22,2.76,0.21,2.8,1.26,6.4,3.54
05,0.4,2.86,0.14,2.7,2.35,6.4,3.44
06,1.26,4.39,1.11,3.68,1.67,6.4,1.93
07,0.33,4.48,0.64,4.53,0.52,6.4,1.84
08,-0.09,4.19,0.13,4.3,0.99,6.4,2.12
09,0.48,4.53,0.09,4.28,2.54,6.4,1.79
10,0.45,4.56,0.58,4.53,0.17,6.4,1.76
11,-0.21,4.05,0.19,4.39,-1.17,6.4,2.26
12,0.15,3.75,-0.16,3.86,-0.82,6.4,2.55
01,0.32,3.78,0.3,3.77,-0.19,6.4,2.52
02,0.43,3.89,0.34,3.73,1.79,6.4,2.42
03,0.75,4.58,0.54,4.18,1.35,6.4,1.74
04,0.57,4.94,0.72,4.71,1.09,6.4,1.39
05,0.13,4.66,0.35,4.93,0.52,6.4,1.66
06,0.01,3.37,0.06,3.84,0.83,6.4,2.93
07,0.19,3.22,0.09,3.27,-0.22,6.4,3.08
08,0.11,3.43,0.08,3.22,-0.9,5.9,2.39
09,-0.04,2.89,0.09,3.22,0.69,5.71,2.74
10,0.1,2.54,0.09,2.72,0.84,5.38,2.77
11,0.51,3.27,0.14,2.67,1.11,4.9,1.58
12,1.15,4.31,1.05,3.91,2.34,4.59,0.27
01,0.21,4.19,0.71,4.34,-0.13,4.4,0.2
02,0.25,4.01,0.22,4.21,-0.03,4.19,0.17
03,0.07,3.3,0.02,3.67,2.33,3.95,0.63
04,-0.31,2.4,-0.01,2.92,0.11,3.65,1.22
05,-0.38,1.88,-0.59,1.96,0.25,3.01,1.11
06,0.26,2.13,0.02,1.92,2.22,2.58,0.44
07,0.36,2.31,0.3,2.13,3.14,2.15,-0.16
08,0.24,2.44,0.23,2.28,5.44,1.94,-0.49
09,0.64,3.14,0.45,2.65,4.38,1.9,-1.2
10,0.86,3.92,0.94,3.52,4.86,1.9,-1.94
11,0.89,4.31,0.81,4.22,3.31,1.9,-2.31
12,1.35,4.52,1.06,4.23,0.68,1.9,-2.51
01,0.25,4.56,0.78,4.3,3.92,1.9,-2.54
